MDB_AP_COLLECTION_DOC_PKB.pls        3129 trunk/src/ap/pls
MDB_GL_HISTORY_PARAMETERS.ind         226 trunk/src/inv/sql
MDB_GL_HISTORY_PARAMETERS.seq         226 trunk/src/inv/sql
MDB_GL_HISTORY_PARAMETERS.syn         226 trunk/src/inv/sql
MDB_GL_HISTORY_PARAMETERS.tab         226 trunk/src/inv/sql
MDB_GL_TRANSLATION_GROUPS.grt         226 trunk/src/inv/sql
MDB_GL_TRANSLATION_GROUPS.ind         226 trunk/src/inv/sql
MDB_GL_TRANSLATION_GROUPS.seq         226 trunk/src/inv/sql
MDB_GL_TRANSLATION_GROUPS.syn         226 trunk/src/inv/sql
MDB_GL_TRANSLATION_GROUPS.tab         226 trunk/src/inv/sql
MDB_GL_TRANSLATION_TERMS.grt          226 trunk/src/inv/sql
MDB_GL_TRANSLATION_TERMS.ind          226 trunk/src/inv/sql
MDB_GL_TRANSLATION_TERMS.seq          226 trunk/src/inv/sql
MDB_GL_TRANSLATION_TERMS.syn          226 trunk/src/inv/sql
MDB_GL_TRANSLATION_TERMS.tab          226 trunk/src/inv/sql
MDB_GL_UPD_HISTORY_R_AI.trg           226 trunk/src/inv/sql
MDB_INV_COSTS_CENTER.grt             2281 trunk/src/inv/sql
MDB_INV_COSTS_CENTER.ind             2281 trunk/src/inv/sql
MDB_INV_COSTS_CENTER.syn             2281 trunk/src/inv/sql
MDB_INV_COSTS_CENTER.tab             2281 trunk/src/inv/sql
MDB_INV_HISTORY_REASONS.grt           226 trunk/src/inv/sql
MDB_INV_HISTORY_REASONS.syn           226 trunk/src/inv/sql
MDB_INV_HISTORY_REASONS.tab           226 trunk/src/inv/sql
MDB_INV_HISTORY_REASONS_S.grt         226 trunk/src/inv/sql
MDB_INV_HISTORY_REASONS_S.seq         226 trunk/src/inv/sql
MDB_INV_HISTORY_REASONS_S.syn         226 trunk/src/inv/sql
MDB_INV_HISTORY_REASONS_U1.ind        226 trunk/src/inv/sql
MDB_INV_HIST_REQ_HEADER.grt           552 trunk/src/inv/sql
MDB_INV_HIST_REQ_HEADER.syn           552 trunk/src/inv/sql
MDB_INV_HIST_REQ_HEADER.tab           552 trunk/src/inv/sql
MDB_INV_HIST_REQ_LINES.grt            552 trunk/src/inv/sql
MDB_INV_HIST_REQ_LINES.syn            552 trunk/src/inv/sql
MDB_INV_HIST_REQ_LINES.tab            552 trunk/src/inv/sql
MDB_INV_HIST_REQ_LINES_PKB.pls       2288 trunk/src/inv/sql
MDB_INV_HIST_REQ_LINES_PKS.pls       2288 trunk/src/inv/sql
MDB_INV_INV212_00001.sql              226 trunk/src/inv/sql
MDB_INV_INV220_00001.sql             2303 trunk/src/inv/sql
MDB_INV_INV221_00001.sql             1890 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_ALL.col        1947 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_ALL.grt         226 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_ALL.syn         226 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_ALL.tab         226 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_N1.ind          226 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_S.grt           226 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_S.seq           226 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_S.syn           226 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_U1.ind          226 trunk/src/inv/sql
MDB_INV_ONHAND_OTHERS_U2.ind          226 trunk/src/inv/sql
MDB_INV_REQUESTER_APROVER.grt        2281 trunk/src/inv/sql
MDB_INV_REQUESTER_APROVER.ind        2281 trunk/src/inv/sql
MDB_INV_REQUESTER_APROVER.syn        2281 trunk/src/inv/sql
MDB_INV_REQUESTER_APROVER.tab        2281 trunk/src/inv/sql
MDB_INV_REQUESTER_APROVER_S.seq      2281 trunk/src/inv/sql
MDB_INV_REQUESTER_APROVER_S.syn      2281 trunk/src/inv/sql
MDB_INV_REQ_APROVER_S.seq            2308 trunk/src/inv/sql
MDB_INV_REQ_APROVER_S.syn            2308 trunk/src/inv/sql
MDB_INV_TRANSF_SUBINV_R_BI.trg        226 trunk/src/inv/sql
MDB_MTL_MAT_TRANSACTIONS_V.vw        1473 trunk/src/inv/sql
MDB_REC_ONHAND_OTH_R_AIU.trg          226 trunk/src/inv/sql
MDB_INV_ORDER_REQUISITION.wft        2295 trunk/src/inv/wft
MDB_JL_BR_OCCUR_ABT_R_BI.trg          439 trunk/src/jl/sql
MDBOMORGPAR.fmb                      2373 trunk/src/om/fmb
MDBOMSALESGROUPPLACE.fmb                1 trunk/src/om/fmb
MDBOMSHIPMENTROUTES.fmb                 1 trunk/src/om/fmb
MDBOMSHIPMENTS.fmb                      1 trunk/src/om/fmb
MDBOMSHIPROUTES.fmb                     1 trunk/src/om/fmb
MDB_OM_CUST_EXT.fmb                     1 trunk/src/om/fmb
MDB_OM_CUST_RTS.fmb                     1 trunk/src/om/fmb
MDBCUST.pll                             1 trunk/src/om
MDB_AR_COM_DISC_PKB.pls              3236 trunk/src/om/pls
MDB_AR_COM_DISC_PKS.pls              3236 trunk/src/om/pls
mdb_om_aprov_order_pkb.pls           2264 trunk/src/om/pls
mdb_om_aprov_order_pks.pls           2264 trunk/src/om/pls
MDB_OM_BOOKED_ORDER_PKB.pls          2350 trunk/src/om/pls
MDB_OM_BOOKED_ORDER_PKS.pls            88 trunk/src/om/pls
MDB_OM_CHECK_MSG_LGL_PKB.pls         3234 trunk/src/om/pls
MDB_OM_CHECK_MSG_LGL_PKS.pls         3234 trunk/src/om/pls
MDB_OM_HEADERS_LEGAL_MSG_R_BU.trg     450 trunk/src/om/pls
mdb_om_head_aprov_r_ai.trg           2264 trunk/src/om/pls
mdb_om_head_aprov_r_bu.trg           2264 trunk/src/om/pls
MDB_OM_IFACE_AR_PKB.pls              3131 trunk/src/om/pls
MDB_OM_IFACE_AR_PKS.pls              3131 trunk/src/om/pls
MDB_OM_SHIP_CONFIRM_PKB.pls             1 trunk/src/om/pls
MDB_OM_SHIP_CONFIRM_PKS.pls             1 trunk/src/om/pls
MDBOMGOODSLIST.rdf                   1213 trunk/src/om/rdf
MDBOMPEDCART.rdf                     2696 trunk/src/om/rdf
MDBOMRICR.rdf                        3176 trunk/src/om/rdf
MDB_OM_CONCARE.rdf                   3143 trunk/src/om/rdf
MDB_OM_DETAILED_SHIPMENT.rdf         2385 trunk/src/om/rdf
MDB_OM_ORD_ROT_CLI.rdf               3120 trunk/src/om/rdf
MDB_AR_COM_DISCOUNT_CCR.ldt          3236 trunk/src/om/seed
MDB_AR_COM_DISCOUNT_RQG.ldt          3236 trunk/src/om/seed
MDB_BRAND_VST.ldt                       1 trunk/src/om/seed
MDB_BUSINESS_AREA_VST.ldt               1 trunk/src/om/seed
MDB_OM_BOOKORD_CCR.ldt                402 trunk/src/om/seed
MDB_OM_BOOKORD_RQG.ldt                402 trunk/src/om/seed
MDB_OM_CUSTOMIZACOES_MNU.ldt            1 trunk/src/om/seed
MDB_OM_CUST_MNU.ldt                     1 trunk/src/om/seed
MDB_OM_CUST_MNU.slt                     1 trunk/src/om/seed
MDB_OM_GOODS_LIST_CCR.ldt            1214 trunk/src/om/seed
MDB_OM_GOODS_LIST_RQG.ldt            1214 trunk/src/om/seed
MDB_OM_OM252_MNU.ldt                 2375 trunk/src/om/seed
MDB_OM_OM252_PTB_MSG.ldt             2375 trunk/src/om/seed
MDB_OM_OM252_US_MSG.ldt              2375 trunk/src/om/seed
MDB_OM_ORDENS_ROTA_CCR.ldt           3110 trunk/src/om/seed
MDB_OM_ORDENS_ROTA_RQG.ldt           3072 trunk/src/om/seed
MDB_OM_ORDER_TYPE_DFF.ldt               1 trunk/src/om/seed
MDB_OM_PED_CARTEIRA_CCR.ldt          2983 trunk/src/om/seed
MDB_OM_PED_CARTEIRA_RG.ldt           2983 trunk/src/om/seed
MDB_OM_SALES_AGREEMENT_FP.ldt        3203 trunk/src/om/seed
MDB_OM_SALES_ORDERS_FP.ldt            157 trunk/src/om/seed
MDB_OM_SHIP_CONFIRM_CCR.ldt             1 trunk/src/om/seed
MDB_OM_SHIP_STATUS_VST.ldt              1 trunk/src/om/seed
MDB_PRODUCT_LINE_VST.ldt                1 trunk/src/om/seed
MDB_AR_IFACE_COM_DISC_R_BI.trg       3236 trunk/src/om/sql
MDB_GL_HISTORY_PARAMETERS.grt         228 trunk/src/om/sql
MDB_GL_HISTORY_PARAMETERS.ind         228 trunk/src/om/sql
MDB_GL_HISTORY_PARAMETERS.seq         228 trunk/src/om/sql
MDB_GL_HISTORY_PARAMETERS.syn         228 trunk/src/om/sql
MDB_GL_HISTORY_PARAMETERS.tab         228 trunk/src/om/sql
MDB_GL_TRANSLATION_GROUPS.grt         228 trunk/src/om/sql
MDB_GL_TRANSLATION_GROUPS.ind         228 trunk/src/om/sql
MDB_GL_TRANSLATION_GROUPS.seq         228 trunk/src/om/sql
MDB_GL_TRANSLATION_GROUPS.syn         228 trunk/src/om/sql
MDB_GL_TRANSLATION_GROUPS.tab         228 trunk/src/om/sql
MDB_GL_TRANSLATION_TERMS.grt          228 trunk/src/om/sql
MDB_GL_TRANSLATION_TERMS.ind          228 trunk/src/om/sql
MDB_GL_TRANSLATION_TERMS.seq          228 trunk/src/om/sql
MDB_GL_TRANSLATION_TERMS.syn          228 trunk/src/om/sql
MDB_GL_TRANSLATION_TERMS.tab          228 trunk/src/om/sql
MDB_GL_UPD_HISTORY_R_AI.trg           228 trunk/src/om/sql
MDB_OM_CUSTOMERS_ROUTES.grt           228 trunk/src/om/sql
MDB_OM_CUSTOMERS_ROUTES.ind           228 trunk/src/om/sql
MDB_OM_CUSTOMERS_ROUTES.seq           228 trunk/src/om/sql
MDB_OM_CUSTOMERS_ROUTES.sql           228 trunk/src/om/sql
MDB_OM_CUSTOMERS_ROUTES.syn           228 trunk/src/om/sql
MDB_OM_CUSTOMERS_ROUTES.tab           228 trunk/src/om/sql
MDB_OM_CUST_EXTENSIONS.grt            228 trunk/src/om/sql
MDB_OM_CUST_EXTENSIONS.ind            228 trunk/src/om/sql
MDB_OM_CUST_EXTENSIONS.sql            228 trunk/src/om/sql
MDB_OM_CUST_EXTENSIONS.syn            228 trunk/src/om/sql
MDB_OM_CUST_EXTENSIONS.tab            228 trunk/src/om/sql
MDB_OM_CUST_EXTENSIONS.vw             228 trunk/src/om/sql
MDB_OM_HD_LEGAL_MSG_R_BU.trg         3235 trunk/src/om/sql
MDB_OM_HEADER_IFACE_R_BI.trg         2374 trunk/src/om/sql
MDB_OM_LINE_IFACE_R_BI.trg           2374 trunk/src/om/sql
MDB_OM_OM202_00001.sql                228 trunk/src/om/sql
MDB_OM_OM204_00001.sql               2264 trunk/src/om/sql
MDB_OM_OM209_00001.sql                228 trunk/src/om/sql
MDB_OM_OM212_00001.sql                228 trunk/src/om/sql
MDB_OM_OM219_00001.sql               3236 trunk/src/om/sql
MDB_OM_OM221_00001.sql               3235 trunk/src/om/sql
MDB_OM_OM250_00001.sql               2863 trunk/src/om/sql
MDB_OM_ORDER_LINES_R_AU.trg           228 trunk/src/om/sql
MDB_OM_ORG_PARAMETERS.grt            2362 trunk/src/om/sql
MDB_OM_ORG_PARAMETERS.syn            2362 trunk/src/om/sql
MDB_OM_ORG_PARAMETERS.tab            2362 trunk/src/om/sql
MDB_OM_ORG_PARAMETERS_S.grt          2370 trunk/src/om/sql
MDB_OM_ORG_PARAMETERS_S.seq          2370 trunk/src/om/sql
MDB_OM_ORG_PARAMETERS_S.syn          2362 trunk/src/om/sql
MDB_OM_ORG_PARAMETERS_U1.ind         2362 trunk/src/om/sql
MDB_OM_ORG_PARAMETERS_U2.ind         2362 trunk/src/om/sql
MDB_OM_ORG_PAR_LINES.grt             2362 trunk/src/om/sql
MDB_OM_ORG_PAR_LINES.syn             2362 trunk/src/om/sql
MDB_OM_ORG_PAR_LINES.tab             2362 trunk/src/om/sql
MDB_OM_ORG_PAR_LINES_N1.ind          2362 trunk/src/om/sql
MDB_OM_ORG_PAR_LINES_S.grt           2362 trunk/src/om/sql
MDB_OM_ORG_PAR_LINES_S.seq           2362 trunk/src/om/sql
MDB_OM_ORG_PAR_LINES_S.syn           2362 trunk/src/om/sql
MDB_OM_ORG_PAR_LINES_U1.ind          2362 trunk/src/om/sql
MDB_OM_ORG_PAR_LINES_U2.ind          2362 trunk/src/om/sql
MDB_OM_SALES_GROUP.grt                228 trunk/src/om/sql
MDB_OM_SALES_GROUP.ind                228 trunk/src/om/sql
MDB_OM_SALES_GROUP.syn                228 trunk/src/om/sql
MDB_OM_SALES_GROUP.tab                228 trunk/src/om/sql
MDB_OM_SALES_GROUP_S.seq              228 trunk/src/om/sql
MDB_OM_SALES_PLACE.grt                228 trunk/src/om/sql
MDB_OM_SALES_PLACE.ind                228 trunk/src/om/sql
MDB_OM_SALES_PLACE.syn                228 trunk/src/om/sql
MDB_OM_SALES_PLACE.tab                228 trunk/src/om/sql
MDB_OM_SALES_PLACE_S.seq              228 trunk/src/om/sql
MDB_OM_SALE_GROUP.syn                 228 trunk/src/om/sql
MDB_OM_SHIPMENTS.grt                  228 trunk/src/om/sql
MDB_OM_SHIPMENTS.ind                  228 trunk/src/om/sql
MDB_OM_SHIPMENTS.syn                  228 trunk/src/om/sql
MDB_OM_SHIPMENTS.tab                  228 trunk/src/om/sql
MDB_OM_SHIPMENTS_S.grt                228 trunk/src/om/sql
MDB_OM_SHIPMENTS_S.seq                228 trunk/src/om/sql
MDB_OM_SHIPMENTS_S.syn                228 trunk/src/om/sql
MDB_OM_SHIPMENTS_V.vw                 228 trunk/src/om/sql
MDB_OM_SHIPMENT_LINES.grt             228 trunk/src/om/sql
MDB_OM_SHIPMENT_LINES.ind             228 trunk/src/om/sql
MDB_OM_SHIPMENT_LINES.syn             228 trunk/src/om/sql
MDB_OM_SHIPMENT_LINES.tab             228 trunk/src/om/sql
MDB_OM_SHIPMENT_LINES_S.grt           228 trunk/src/om/sql
MDB_OM_SHIPMENT_LINES_S.seq           228 trunk/src/om/sql
MDB_OM_SHIPMENT_LINES_S.syn           228 trunk/src/om/sql
MDB_OM_SHIPMENT_MASTER_V.vw           228 trunk/src/om/sql
MDB_OM_SHIPMENT_ROUTES.grt            228 trunk/src/om/sql
MDB_OM_SHIPMENT_ROUTES.ind            228 trunk/src/om/sql
MDB_OM_SHIPMENT_ROUTES.syn            228 trunk/src/om/sql
MDB_OM_SHIPMENT_ROUTES.tab            228 trunk/src/om/sql
MDB_OM_SHIPMENT_ROUTES_S.grt          228 trunk/src/om/sql
MDB_OM_SHIPMENT_ROUTES_S.seq          228 trunk/src/om/sql
MDB_OM_SHIPMENT_ROUTES_S.syn          228 trunk/src/om/sql
MDB_OM_SHIP_CUST_ROUTES.grt           228 trunk/src/om/sql
MDB_OM_SHIP_CUST_ROUTES.ind           228 trunk/src/om/sql
MDB_OM_SHIP_CUST_ROUTES.syn           228 trunk/src/om/sql
MDB_OM_SHIP_CUST_ROUTES.tab           228 trunk/src/om/sql
MDB_OM_SHIP_CUST_ROUTES_S.grt         228 trunk/src/om/sql
MDB_OM_SHIP_CUST_ROUTES_S.seq         228 trunk/src/om/sql
MDB_OM_SHIP_CUST_ROUTES_S.syn         228 trunk/src/om/sql
MDB_OM_SHIP_CUST_ROUTES_V.vw          228 trunk/src/om/sql
MDB_OM_SHIP_ORDER_LINES_V.vw          228 trunk/src/om/sql
MDBCUST.pll                             1 trunk/src/pll/mdbcust/v1_patch-install
MDBCUST.pll                             1 trunk/src/pll/mdbcust/v2_OM202
MDBCUST_old.pll                         1 trunk/src/pll/mdbcust/v3_OM202
MDBCUST.pll                          3090 trunk/src/pll
MDB_PO_ALTER_PURCHASE_ORDER_PK.pck   3063 trunk/src/po/pls
MDB_PO_CALC_TOT_PKB.pls              3156 trunk/src/po/pls
MDB_PO_CALC_TOT_PKS.pls              3156 trunk/src/po/pls
MDB_PO_PO400_FP.ldt                  3175 trunk/src/po/seed
MDB_PO_PO400_SDC_FP.ldt              3175 trunk/src/po/seed
MDB_PO_PO400_VST.ldt                 3175 trunk/src/po/seed
MDB_PO_ALTER_NOTIFICAIN_PURCHASE_ORDER_v1.wft  3062 trunk/src/po/wf
MDB_PO_ALTER_NOTIFICAIN_PURCHASE_ORDER_v2.wft  3062 trunk/src/po/wf
MDB_PO_ALTER_NOTIFICAIN_PURCHASE_ORDER_v3.wft  3062 trunk/src/po/wf
MDB_PO_ALTER_NOTIFICAIN_PURCHASE_ORDER_v4.wft  3062 trunk/src/po/wf
MDBARORIMOD.fmb                         1 trunk/src/ri/fmb
MDBARTRXTYP.fmb                         1 trunk/src/ri/fmb
MDBRECIMPNFTR.fmb                       1 trunk/src/ri/fmb
MDB_REC_ACC_CORREC_RET_PKB.pls          1 trunk/src/ri/pls
MDB_REC_ACC_CORREC_RET_PKS.pls          1 trunk/src/ri/pls
MDB_REC_FIXED_ACCOUNT_PKB.pls        1341 trunk/src/ri/pls
MDB_REC_FIXED_ACCOUNT_PKS.pls        1341 trunk/src/ri/pls
MDB_REC_RECEIPT_UTIL_PKB.pls            1 trunk/src/ri/pls
MDB_REC_RECEIPT_UTIL_PKS.pls            1 trunk/src/ri/pls
MDB_RI_IMPNFTRANS_PKB.pls               1 trunk/src/ri/pls
MDB_RI_IMPNFTRANS_PKS.pls               1 trunk/src/ri/pls
REC_HOLDS_CUSTOM_PKB.pls             3233 trunk/src/ri/pls
REC_HOLDS_CUSTOM_PKS.pls             3233 trunk/src/ri/pls
MDBRECDLPDT.rdf                       444 trunk/src/ri/rdf
MDB_AR_CUSTOMIZACOES_MNU.ldt            1 trunk/src/ri/seed
MDB_REC_ACC_CORREC_RET_CCR.ldt          1 trunk/src/ri/seed
MDB_REC_ACC_CORREC_RET_RQG.ldt          1 trunk/src/ri/seed
MDB_REC_CUSTOMIZACOES_MNU.ldt           1 trunk/src/ri/seed
MDB_REC_IMPNFTRANS_PK_CCR.ldt           1 trunk/src/ri/seed
MDB_REC_QTY_DIVERG_CCR.ldt              1 trunk/src/ri/seed
MDB_REC_RCV_TRANSACT_DFF.ldt            1 trunk/src/ri/seed
MDB_REC_REC_PARAM_DFF.ldt               1 trunk/src/ri/seed
MDB_RI_DOCUMENT_FISCAL_VST.ldt       3244 trunk/src/ri/seed
MDB_RI_INPUT_OPERATION_FP.ldt        3244 trunk/src/ri/seed
MDB_RI_SERIE_FISCAL_VST.ldt          3244 trunk/src/ri/seed
MDB_AR_REC_INTEGRATIONS.grt           230 trunk/src/ri/sql/ddl
MDB_AR_REC_INTEGRATIONS.ind           230 trunk/src/ri/sql/ddl
MDB_AR_REC_INTEGRATIONS.syn           230 trunk/src/ri/sql/ddl
MDB_AR_REC_INTEGRATIONS.tab           230 trunk/src/ri/sql/ddl
MDB_AR_REC_INTEGRATIONS_S.grt         230 trunk/src/ri/sql/ddl
MDB_AR_REC_INTEGRATIONS_S.seq         230 trunk/src/ri/sql/ddl
MDB_AR_REC_INTEGRATIONS_S.syn         230 trunk/src/ri/sql/ddl
MDB_AR_REC_INTEGR_V.vw                230 trunk/src/ri/sql/ddl
MDB_AR_SOURCES.grt                    230 trunk/src/ri/sql/ddl
MDB_AR_SOURCES.ind                    230 trunk/src/ri/sql/ddl
MDB_AR_SOURCES.syn                    230 trunk/src/ri/sql/ddl
MDB_AR_SOURCES.tab                    230 trunk/src/ri/sql/ddl
MDB_AR_SOURCES_S.grt                  230 trunk/src/ri/sql/ddl
MDB_AR_SOURCES_S.seq                  230 trunk/src/ri/sql/ddl
MDB_AR_SOURCES_S.syn                  230 trunk/src/ri/sql/ddl
MDB_AR_SOURCES_V.vw                   230 trunk/src/ri/sql/ddl
MDB_AR_TRX_TYPES_ALL.grt              230 trunk/src/ri/sql/ddl
MDB_AR_TRX_TYPES_ALL.ind              230 trunk/src/ri/sql/ddl
MDB_AR_TRX_TYPES_ALL.syn              230 trunk/src/ri/sql/ddl
MDB_AR_TRX_TYPES_ALL.tab              230 trunk/src/ri/sql/ddl
MDB_AR_TRX_TYPES_ALL_S.grt            230 trunk/src/ri/sql/ddl
MDB_AR_TRX_TYPES_ALL_S.seq            230 trunk/src/ri/sql/ddl
MDB_AR_TRX_TYPES_ALL_S.syn            230 trunk/src/ri/sql/ddl
MDB_AR_TRX_TYPES_V.vw                 230 trunk/src/ri/sql/ddl
MDB_GL_HISTORY_PARAMETERS.grt         230 trunk/src/ri/sql/ddl
MDB_GL_HISTORY_PARAMETERS.ind         230 trunk/src/ri/sql/ddl
MDB_GL_HISTORY_PARAMETERS.seq         230 trunk/src/ri/sql/ddl
MDB_GL_HISTORY_PARAMETERS.syn         230 trunk/src/ri/sql/ddl
MDB_GL_HISTORY_PARAMETERS.tab         230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_GROUPS.grt         230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_GROUPS.ind         230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_GROUPS.seq         230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_GROUPS.syn         230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_GROUPS.tab         230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_TERMS.grt          230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_TERMS.ind          230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_TERMS.seq          230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_TERMS.syn          230 trunk/src/ri/sql/ddl
MDB_GL_TRANSLATION_TERMS.tab          230 trunk/src/ri/sql/ddl
MDB_GL_UPD_HISTORY_R_AI.trg           230 trunk/src/ri/sql/ddl
MDB_PO_RCV_TRANSACT_R_AI.trg          230 trunk/src/ri/sql/ddl
MDB_REC_ENTRY_OPER_R_AIU.trg          230 trunk/src/ri/sql/ddl
MDB_REC_F_INVLIN_IFACE_V.vw           230 trunk/src/ri/sql/ddl
MDB_REC_F_INV_IFACE_V.vw              230 trunk/src/ri/sql/ddl
MDB_REC_INVC_LIN_IFACE.grt            230 trunk/src/ri/sql/ddl
MDB_REC_INVC_LIN_IFACE.ind            230 trunk/src/ri/sql/ddl
MDB_REC_INVC_LIN_IFACE.syn            230 trunk/src/ri/sql/ddl
MDB_REC_INVC_LIN_IFACE.tab            230 trunk/src/ri/sql/ddl
MDB_REC_INVC_LIN_IFACE_S.grt          230 trunk/src/ri/sql/ddl
MDB_REC_INVC_LIN_IFACE_S.seq          230 trunk/src/ri/sql/ddl
MDB_REC_INVC_LIN_IFACE_S.syn          230 trunk/src/ri/sql/ddl
MDB_REC_INVOICES_IFACE.grt            230 trunk/src/ri/sql/ddl
MDB_REC_INVOICES_IFACE.ind            230 trunk/src/ri/sql/ddl
MDB_REC_INVOICES_IFACE.syn            230 trunk/src/ri/sql/ddl
MDB_REC_INVOICES_IFACE.tab            230 trunk/src/ri/sql/ddl
MDB_REC_INVOICES_IFACE_S.grt          230 trunk/src/ri/sql/ddl
MDB_REC_INVOICES_IFACE_S.seq          230 trunk/src/ri/sql/ddl
MDB_REC_INVOICES_IFACE_S.syn          230 trunk/src/ri/sql/ddl
MDB_REC_INVOICES_IFACE_V.vw           230 trunk/src/ri/sql/ddl
MDB_REC_INV_LINES_IFACE_V.vw          230 trunk/src/ri/sql/ddl
MDB_REC_LOOKUP_CODES_RI200.sql        230 trunk/src/ri/sql/ddl
MDB_REC_RECEIPT_DIVER.tab             230 trunk/src/ri/sql/ddl
MDB_REC_RECEIPT_DIVERG.grt            230 trunk/src/ri/sql/ddl
MDB_REC_RECEIPT_DIVERG.syn            230 trunk/src/ri/sql/ddl
MDB_REC_RECEIPT_DIVERG_N1.ind         230 trunk/src/ri/sql/ddl
MDB_REC_RECEIPT_DIVERG_U1.ind         230 trunk/src/ri/sql/ddl
MDB_REC_RI200_00001.sql               230 trunk/src/ri/sql/ddl
MDB_REC_RI203_00001.sql               230 trunk/src/ri/sql/ddl
MDB_REC_RI207_00001.sql               230 trunk/src/ri/sql/ddl
MDB_REC_UPDIFACE_R_BU.trg             230 trunk/src/ri/sql/ddl
REC_LOOKUP_CODES.sql                  230 trunk/src/ri/sql/ddl
MDBWIPMOOP.rdf                       3146 trunk/src/wip/rdf
MDBWIPSMP.rdf                        2042 trunk/src/wip/rdf
MDB_WIP_CONF_COMP.rdf                2466 trunk/src/wip/rdf
MDB_WIP_PROG_PROD.rdf                3177 trunk/src/wip/rdf
LDT_MDB_WIP_SMP_CCR.ldt                 1 trunk/src/wip/seed
MDB_INV_CATEGORY_VST.ldt                1 trunk/src/wip/seed
MDB_WIP_ENTITY_NAME_VST.ldt             1 trunk/src/wip/seed
MDB_WIP_SMP_CCR.ldt                   128 trunk/src/wip/seed
MDB_WIP_SMP_RQG.ldt                     1 trunk/src/wip/seed
MDB_WIP_SRS_ORG_ID_VST.ldt              1 trunk/src/wip/seed
MDB_WIP_UDM_PBR_PRF.ldt              3041 trunk/src/wip/seed
