MDB_AP_AP214_00001.sql               1177 ap/ap214/p1
MDB_ZZ_ENABLE_EVENTS_PKB.pls            1 fnd/fnd201/p2
MDB_ZZ_ENABLE_EVENTS_PKS.pls            1 fnd/fnd201/p2
MDBFNDENABLEEVENTS.fmb                  1 fnd/fnd201/p3
MDB_ZZ_ENABLE_EVENTS_HIST.grt           1 fnd/fnd201/p3
MDB_ZZ_ENABLE_EVENTS_HIST.ind           1 fnd/fnd201/p3
MDB_ZZ_ENABLE_EVENTS_HIST.syn           1 fnd/fnd201/p3
MDB_ZZ_ENABLE_EVENTS_HIST.tab           1 fnd/fnd201/p3
MDB_ZZ_HIST_EVENTS_R_BIU.trg            1 fnd/fnd201/p3
MDBGLHISTORYPARAMETERS.fmb              1 gl/gl204/p1
MDBGLTRANSLATEGROUPS.fmb                1 gl/gl204/p1
MDB_GL_GL204_00001.sql                  1 gl/gl204/p1
MDB_GL_HISTORY_PARAMETERS.grt           1 gl/gl204/p1
MDB_GL_HISTORY_PARAMETERS.ind           1 gl/gl204/p1
MDB_GL_HISTORY_PARAMETERS.seq           1 gl/gl204/p1
MDB_GL_HISTORY_PARAMETERS.syn           1 gl/gl204/p1
MDB_GL_HISTORY_PARAMETERS.tab           1 gl/gl204/p1
MDB_GL_HIST_PADRAO_CCR.ldt              1 gl/gl204/p1
MDB_GL_HIST_PADRAO_MNU.ldt              1 gl/gl204/p1
MDB_GL_HIST_PADRAO_RQG.ldt              1 gl/gl204/p1
MDB_GL_STD_HISTORY_PKB.pls              1 gl/gl204/p1
MDB_GL_STD_HISTORY_PKS.pls              1 gl/gl204/p1
MDB_GL_TRANSLATION_GROUPS.grt           1 gl/gl204/p1
MDB_GL_TRANSLATION_GROUPS.ind           1 gl/gl204/p1
MDB_GL_TRANSLATION_GROUPS.seq           1 gl/gl204/p1
MDB_GL_TRANSLATION_GROUPS.syn           1 gl/gl204/p1
MDB_GL_TRANSLATION_GROUPS.tab           1 gl/gl204/p1
MDB_GL_TRANSLATION_PKB.pls              1 gl/gl204/p1
MDB_GL_TRANSLATION_PKS.pls              1 gl/gl204/p1
MDB_GL_TRANSLATION_TERMS.grt            1 gl/gl204/p1
MDB_GL_TRANSLATION_TERMS.ind            1 gl/gl204/p1
MDB_GL_TRANSLATION_TERMS.seq            1 gl/gl204/p1
MDB_GL_TRANSLATION_TERMS.syn            1 gl/gl204/p1
MDB_GL_TRANSLATION_TERMS.tab            1 gl/gl204/p1
MDB_GL_UPD_HISTORY_PKB.pls              1 gl/gl204/p1
MDB_GL_UPD_HISTORY_PKS.pls              1 gl/gl204/p1
MDB_GL_UPD_HISTORY_R_AI.trg             1 gl/gl204/p1
MDBGLHISTORYPARAMETERS.fmb              1 gl/gl204/p2
MDBGLTRANSLATEGROUPS.fmb                1 gl/gl204/p2
MDB_GL204_00001_PTB_MSG.ldt             1 gl/gl204/p2
MDB_GL204_00001_US_MSG.ldt              1 gl/gl204/p2
MDB_GL204_00002_PTB_MSG.ldt             1 gl/gl204/p2
MDB_GL204_00002_US_MSG.ldt              1 gl/gl204/p2
MDB_GL_GL204_00001.sql                  1 gl/gl204/p2
MDB_GL_HISTORY_PARAMETERS.grt           1 gl/gl204/p2
MDB_GL_HISTORY_PARAMETERS.ind           1 gl/gl204/p2
MDB_GL_HISTORY_PARAMETERS.seq           1 gl/gl204/p2
MDB_GL_HISTORY_PARAMETERS.syn           1 gl/gl204/p2
MDB_GL_HIST_PADRAO_CCR.ldt              1 gl/gl204/p2
MDB_GL_HIST_PADRAO_MNU.ldt              1 gl/gl204/p2
MDB_GL_HIST_PADRAO_RQG.ldt              1 gl/gl204/p2
MDB_GL_STD_HISTORY_PKB.pls              1 gl/gl204/p2
MDB_GL_STD_HISTORY_PKS.pls              1 gl/gl204/p2
MDB_GL_TRANSLATION_GROUPS.grt           1 gl/gl204/p2
MDB_GL_TRANSLATION_GROUPS.ind           1 gl/gl204/p2
MDB_GL_TRANSLATION_GROUPS.seq           1 gl/gl204/p2
MDB_GL_TRANSLATION_GROUPS.syn           1 gl/gl204/p2
MDB_GL_TRANSLATION_PKB.pls              1 gl/gl204/p2
MDB_GL_TRANSLATION_PKS.pls              1 gl/gl204/p2
MDB_GL_TRANSLATION_TERMS.grt            1 gl/gl204/p2
MDB_GL_TRANSLATION_TERMS.ind            1 gl/gl204/p2
MDB_GL_TRANSLATION_TERMS.seq            1 gl/gl204/p2
MDB_GL_TRANSLATION_TERMS.syn            1 gl/gl204/p2
MDB_GL_UPD_HISTORY_PKB.pls              1 gl/gl204/p2
MDB_GL_UPD_HISTORY_PKS.pls              1 gl/gl204/p2
MDB_GL_UPD_HISTORY_R_AI.trg             1 gl/gl204/p2
MDBGLHISTORYPARAMETERS.fmb              1 gl/gl204/p3
MDBGLTRANSLATEGROUPS.fmb                1 gl/gl204/p3
MDB_GL204_00001_PTB_MSG.ldt             1 gl/gl204/p3
MDB_GL204_00001_US_MSG.ldt              1 gl/gl204/p3
MDB_GL204_00002_PTB_MSG.ldt             1 gl/gl204/p3
MDB_GL204_00002_US_MSG.ldt              1 gl/gl204/p3
MDB_GL_GL204_00001.sql                  1 gl/gl204/p3
MDB_GL_HISTORY_PARAMETERS.grt           1 gl/gl204/p3
MDB_GL_HISTORY_PARAMETERS.ind           1 gl/gl204/p3
MDB_GL_HISTORY_PARAMETERS.seq           1 gl/gl204/p3
MDB_GL_HISTORY_PARAMETERS.syn           1 gl/gl204/p3
MDB_GL_HIST_PADRAO_CCR.ldt              1 gl/gl204/p3
MDB_GL_HIST_PADRAO_MNU.ldt              1 gl/gl204/p3
MDB_GL_HIST_PADRAO_RQG.ldt              1 gl/gl204/p3
MDB_GL_STD_HISTORY_PKB.pls              1 gl/gl204/p3
MDB_GL_STD_HISTORY_PKS.pls              1 gl/gl204/p3
MDB_GL_TRANSLATION_GROUPS.grt           1 gl/gl204/p3
MDB_GL_TRANSLATION_GROUPS.ind           1 gl/gl204/p3
MDB_GL_TRANSLATION_GROUPS.seq           1 gl/gl204/p3
MDB_GL_TRANSLATION_GROUPS.syn           1 gl/gl204/p3
MDB_GL_TRANSLATION_PKB.pls              1 gl/gl204/p3
MDB_GL_TRANSLATION_PKS.pls              1 gl/gl204/p3
MDB_GL_TRANSLATION_TERMS.grt            1 gl/gl204/p3
MDB_GL_TRANSLATION_TERMS.ind            1 gl/gl204/p3
MDB_GL_TRANSLATION_TERMS.seq            1 gl/gl204/p3
MDB_GL_TRANSLATION_TERMS.syn            1 gl/gl204/p3
MDB_GL_UPD_HISTORY_PKB.pls              1 gl/gl204/p3
MDB_GL_UPD_HISTORY_PKS.pls              1 gl/gl204/p3
MDB_GL_UPD_HISTORY_R_AI.trg             1 gl/gl204/p3
MDB_GL_GL204_00001.sql                  1 gl/gl204/p4
MDB_GL_HIST_PADRAO_CCR.ldt              1 gl/gl204/p4
MDB_GL_TRANSLATION_PKB.pls              1 gl/gl204/p4
MDB_GL_TRANSLATION_PKS.pls              1 gl/gl204/p4
MDBINVONHANDOTHERS.fmb                  1 inv/inv201/p1
MDBINVONHANDOTHERS.rdf                  1 inv/inv201/p1
MDB_AR_INV201_00001.sql                 1 inv/inv201/p1
MDB_AR_INV201_00002.sql                 1 inv/inv201/p1
MDB_AR_ONHAND_OTH_CCR.ldt               1 inv/inv201/p1
MDB_AR_ONHAND_OTH_PKB.pls               1 inv/inv201/p1
MDB_AR_ONHAND_OTH_PKS.pls               1 inv/inv201/p1
MDB_AR_ONHAND_OTH_R_AIU.trg             1 inv/inv201/p1
MDB_AR_TRXNUMBER_FROM_VST.ldt           1 inv/inv201/p1
MDB_AR_TRXNUMBER_TO_VST.ldt             1 inv/inv201/p1
MDB_AR_TRX_TYPE_VST.ldt                 1 inv/inv201/p1
MDB_INV_CUSTOMIZACOES_RQG.ldt           1 inv/inv201/p1
MDB_INV_DEST_SUBINV_VST.ldt             1 inv/inv201/p1
MDB_INV_HISTORY_REASONS.grt             1 inv/inv201/p1
MDB_INV_HISTORY_REASONS.syn             1 inv/inv201/p1
MDB_INV_HISTORY_REASONS.tab             1 inv/inv201/p1
MDB_INV_HISTORY_REASONS_S.grt           1 inv/inv201/p1
MDB_INV_HISTORY_REASONS_S.seq           1 inv/inv201/p1
MDB_INV_HISTORY_REASONS_S.syn           1 inv/inv201/p1
MDB_INV_HISTORY_REASONS_U1.ind          1 inv/inv201/p1
MDB_INV_ONHAND_OTHERS_ALL.grt           1 inv/inv201/p1
MDB_INV_ONHAND_OTHERS_ALL.syn           1 inv/inv201/p1
MDB_INV_ONHAND_OTHERS_ALL.tab           1 inv/inv201/p1
MDB_INV_ONHAND_OTHERS_N1.ind            1 inv/inv201/p1
MDB_INV_ONHAND_OTHERS_S.grt             1 inv/inv201/p1
MDB_INV_ONHAND_OTHERS_S.seq             1 inv/inv201/p1
MDB_INV_ONHAND_OTHERS_S.syn             1 inv/inv201/p1
MDB_INV_ONHAND_OTHERS_U1.ind            1 inv/inv201/p1
MDB_INV_ONHAND_OTHERS_U2.ind            1 inv/inv201/p1
MDB_INV_ONHAND_OTH_CCR.ldt              1 inv/inv201/p1
MDB_INV_ONHAND_OTH_MNU.ldt              1 inv/inv201/p1
MDB_REC_HOLDS_CUSTOM_PKB.pls            1 inv/inv201/p1
MDB_REC_ONHAND_OTH_CCR.ldt              1 inv/inv201/p1
MDB_REC_ONHAND_OTH_PKB.pls              1 inv/inv201/p1
MDB_REC_ONHAND_OTH_PKS.pls              1 inv/inv201/p1
MDB_REC_ONHAND_OTH_R_AIU.trg            1 inv/inv201/p1
rec_holds_custom_pkg.txt                1 inv/inv201/p1
MDB_INV_INSP_REC_MAT_CAR_URG_PKB.sql  2591 inv/inv207_Insp_Receb_Mat_Urg/p1
MDB_INV_INSP_REC_MAT_CAR_URG_PKS.sql  2591 inv/inv207_Insp_Receb_Mat_Urg/p1
MDB_INV_INV212_00001.sql             2077 inv/inv212/p1
MDB_INV_TRANSF_SUBINV_PKB.pls        2077 inv/inv212/p1
MDB_INV_TRANSF_SUBINV_PKS.pls        2077 inv/inv212/p1
MDB_INV_TRANSF_SUBINV_R_BI.trg       2077 inv/inv212/p1
MDB_INV_INV212_00001.sql             2078 inv/inv212/p2
MDB_INV_TRANSF_SUBINV_PKB.pls        2078 inv/inv212/p2
MDB_INV_TRANSF_SUBINV_PKS.pls        2078 inv/inv212/p2
MDB_INV_TRANSF_SUBINV_R_BI.trg       2078 inv/inv212/p2
MDB_INV_TT_TRANSF_PRF.ldt               1 inv/inv212/p2
MDBINVHISTINTERNALREQ.fmb            2284 inv/inv220/p1
MDBINVREQUESTERAPROVER.fmb           2284 inv/inv220/p1
MDB_INV220_MNU.ldt                   2304 inv/inv220/p1
MDB_INV_COSTS_CENTER.grt             2304 inv/inv220/p1
MDB_INV_COSTS_CENTER.ind             2304 inv/inv220/p1
MDB_INV_COSTS_CENTER.syn             2304 inv/inv220/p1
MDB_INV_COSTS_CENTER.tab             2304 inv/inv220/p1
MDB_INV_HIST_REQ_LINES_PKB.pls       2304 inv/inv220/p1
MDB_INV_HIST_REQ_LINES_PKS.pls       2304 inv/inv220/p1
MDB_INV_INV220_00001.sql             2305 inv/inv220/p1
MDB_INV_ORDER_REQUISITION.wft        2296 inv/inv220/p1
MDB_INV_REQUESTER_APROVER.grt        2302 inv/inv220/p1
MDB_INV_REQUESTER_APROVER.ind        2302 inv/inv220/p1
MDB_INV_REQUESTER_APROVER.syn        2302 inv/inv220/p1
MDB_INV_REQUESTER_APROVER.tab        2302 inv/inv220/p1
MDB_INV_REQ_APROVER_S.seq            2310 inv/inv220/p1
MDB_INV_REQ_APROVER_S.syn            2310 inv/inv220/p1
MDBCUST.pll                          2657 inv/inv220/p2
MDB_INV220_FP.ldt                    2650 inv/inv220/p2
MDBCUST.pll                          2059 inv/inv221_transf_subinventario/p1
MDB_INV_INV221_00001.sql             2022 inv/inv221_transf_subinventario/p1
MDB_MTL_MAT_TRANSACTIONS_V.vw        2022 inv/inv221_transf_subinventario/p1
objetos.txt                          3086 inv/inv405_Rel_Receb_Inspecao/p1
MDB_INV_INT_REQUIS_FP.ldt            2248 inv/inv600_Requisicao_Interna_FP/p1
MDBCUST.pll                             1 om/om202/p1
MDBOMSALESGROUPPLACE.fmb                1 om/om202/p1
MDB_BRAND_VST.ldt                       1 om/om202/p1
MDB_BUSINESS_AREA_VST.ldt               1 om/om202/p1
MDB_OM_CUSTOMERS_ROUTES.grt             1 om/om202/p1
MDB_OM_CUSTOMERS_ROUTES.ind             1 om/om202/p1
MDB_OM_CUSTOMERS_ROUTES.seq             1 om/om202/p1
MDB_OM_CUSTOMERS_ROUTES.sql             1 om/om202/p1
MDB_OM_CUSTOMERS_ROUTES.syn             1 om/om202/p1
MDB_OM_CUSTOMERS_ROUTES.tab             1 om/om202/p1
MDB_OM_CUST_EXT.fmb                     1 om/om202/p1
MDB_OM_CUST_EXTENSIONS.grt              1 om/om202/p1
MDB_OM_CUST_EXTENSIONS.ind              1 om/om202/p1
MDB_OM_CUST_EXTENSIONS.sql              1 om/om202/p1
MDB_OM_CUST_EXTENSIONS.syn              1 om/om202/p1
MDB_OM_CUST_EXTENSIONS.tab              1 om/om202/p1
MDB_OM_CUST_EXTENSIONS.vw               1 om/om202/p1
MDB_OM_CUST_MNU.slt                     1 om/om202/p1
MDB_OM_CUST_RTS.fmb                     1 om/om202/p1
MDB_OM_OM212_00001.sql                  1 om/om202/p1
MDB_OM_SALES_GROUP.grt                  1 om/om202/p1
MDB_OM_SALES_GROUP.ind                  1 om/om202/p1
MDB_OM_SALES_GROUP.tab                  1 om/om202/p1
MDB_OM_SALES_GROUP_S.seq                1 om/om202/p1
MDB_OM_SALES_PLACE.grt                  1 om/om202/p1
MDB_OM_SALES_PLACE.ind                  1 om/om202/p1
MDB_OM_SALES_PLACE.syn                  1 om/om202/p1
MDB_OM_SALES_PLACE.tab                  1 om/om202/p1
MDB_OM_SALES_PLACE_S.seq                1 om/om202/p1
MDB_OM_SALE_GROUP.syn                   1 om/om202/p1
MDB_PRODUCT_LINE_VST.ldt                1 om/om202/p1
MDBOMSALESGROUPPLACE.fmb                1 om/om202/p2
MDB_OM_CUSTOMERS_ROUTES.grt             1 om/om202/p2
MDB_OM_CUSTOMERS_ROUTES.ind             1 om/om202/p2
MDB_OM_CUSTOMERS_ROUTES.seq             1 om/om202/p2
MDB_OM_CUSTOMERS_ROUTES.sql             1 om/om202/p2
MDB_OM_CUSTOMERS_ROUTES.syn             1 om/om202/p2
MDB_OM_CUSTOMERS_ROUTES.tab             1 om/om202/p2
MDB_OM_CUST_EXT.fmb                     1 om/om202/p2
MDB_OM_CUST_EXTENSIONS.grt              1 om/om202/p2
MDB_OM_CUST_EXTENSIONS.ind              1 om/om202/p2
MDB_OM_CUST_EXTENSIONS.sql              1 om/om202/p2
MDB_OM_CUST_EXTENSIONS.syn              1 om/om202/p2
MDB_OM_CUST_EXTENSIONS.tab              1 om/om202/p2
MDB_OM_CUST_EXTENSIONS.vw               1 om/om202/p2
MDB_OM_CUST_MNU.ldt                     1 om/om202/p2
MDB_OM_CUST_RTS.fmb                     1 om/om202/p2
MDB_OM_OM202_00001.sql                  1 om/om202/p2
MDB_OM_SALES_GROUP.grt                  1 om/om202/p2
MDB_OM_SALES_GROUP.ind                  1 om/om202/p2
MDB_OM_SALES_GROUP.syn                  1 om/om202/p2
MDB_OM_SALES_GROUP.tab                  1 om/om202/p2
MDB_OM_SALES_GROUP_S.seq                1 om/om202/p2
MDB_OM_SALES_PLACE.grt                  1 om/om202/p2
MDB_OM_SALES_PLACE.ind                  1 om/om202/p2
MDB_OM_SALES_PLACE.syn                  1 om/om202/p2
MDB_OM_SALES_PLACE.tab                  1 om/om202/p2
MDB_OM_SALES_PLACE_S.seq                1 om/om202/p2
MDBCUST.pll                             1 om/om202/p3
MDBOMSALESGROUPPLACE.fmb                1 om/om202/p3
MDB_OM_CUST_EXT.fmb                     1 om/om202/p3
MDB_OM_CUST_EXTENSIONS.vw               1 om/om202/p3
MDB_OM_CUST_RTS.fmb                     1 om/om202/p3
MDBCUST.pll                             1 om/om202/p4
MDBOMSALESGROUPPLACE.fmb                1 om/om202/p4
MDB_OM_CUST_EXT.fmb                     1 om/om202/p4
MDB_OM_CUST_EXTENSIONS.vw               1 om/om202/p4
MDB_OM_CUST_MNU.ldt                     1 om/om202/p4
MDB_OM_CUST_RTS.fmb                     1 om/om202/p4
MDB_OM_CUST_EXT.fmb                     1 om/om202/p5
MDBOMSALESGROUPPLACE.fmb                1 om/om202/p6
MDB_OM_BOOKED_ORDER_PKB.pls           422 om/om203/p1
MDB_OM_BOOKED_ORDER_PKS.pls           422 om/om203/p1
MDB_OM_BOOKORD_CCR.ldt                422 om/om203/p1
MDB_OM_BOOKORD_RQG.ldt                422 om/om203/p1
mdb_om_aprov_order_pkb.pls           2263 om/om204_aprov_ped/p1
mdb_om_aprov_order_pks.pls           2263 om/om204_aprov_ped/p1
mdb_om_head_aprov_r_ai.trg           2263 om/om204_aprov_ped/p1
mdb_om_head_aprov_r_bu.trg           2263 om/om204_aprov_ped/p1
MDB_OM_OM204_00001.sql               2263 om/om204_aprov_ped/p1
MDBOMSHIPMENTROUTES.fmb                 1 om/om205/p1
MDBOMSHIPMENTS.fmb                      1 om/om205/p1
MDBOMSHIPROUTES.fmb                     1 om/om205/p1
MDB_OM_CUSTOMIZACOES_MNU.ldt            1 om/om205/p1
MDB_OM_SHIPMENTS.grt                    1 om/om205/p1
MDB_OM_SHIPMENTS.ind                    1 om/om205/p1
MDB_OM_SHIPMENTS.syn                    1 om/om205/p1
MDB_OM_SHIPMENTS.tab                    1 om/om205/p1
MDB_OM_SHIPMENTS_S.grt                  1 om/om205/p1
MDB_OM_SHIPMENTS_S.seq                  1 om/om205/p1
MDB_OM_SHIPMENTS_S.syn                  1 om/om205/p1
MDB_OM_SHIPMENTS_V.vw                   1 om/om205/p1
MDB_OM_SHIPMENT_LINES.grt               1 om/om205/p1
MDB_OM_SHIPMENT_LINES.ind               1 om/om205/p1
MDB_OM_SHIPMENT_LINES.syn               1 om/om205/p1
MDB_OM_SHIPMENT_LINES.tab               1 om/om205/p1
MDB_OM_SHIPMENT_LINES_S.grt             1 om/om205/p1
MDB_OM_SHIPMENT_LINES_S.seq             1 om/om205/p1
MDB_OM_SHIPMENT_LINES_S.syn             1 om/om205/p1
MDB_OM_SHIPMENT_MASTER_V.vw             1 om/om205/p1
MDB_OM_SHIPMENT_ROUTES.grt              1 om/om205/p1
MDB_OM_SHIPMENT_ROUTES.ind              1 om/om205/p1
MDB_OM_SHIPMENT_ROUTES.syn              1 om/om205/p1
MDB_OM_SHIPMENT_ROUTES.tab              1 om/om205/p1
MDB_OM_SHIPMENT_ROUTES_S.grt            1 om/om205/p1
MDB_OM_SHIPMENT_ROUTES_S.seq            1 om/om205/p1
MDB_OM_SHIPMENT_ROUTES_S.syn            1 om/om205/p1
MDB_OM_SHIP_CONFIRM_CCR.ldt             1 om/om205/p1
MDB_OM_SHIP_CONFIRM_PKB.pls             1 om/om205/p1
MDB_OM_SHIP_CONFIRM_PKS.pls             1 om/om205/p1
MDB_OM_SHIP_CUST_ROUTES.grt             1 om/om205/p1
MDB_OM_SHIP_CUST_ROUTES.ind             1 om/om205/p1
MDB_OM_SHIP_CUST_ROUTES.syn             1 om/om205/p1
MDB_OM_SHIP_CUST_ROUTES.tab             1 om/om205/p1
MDB_OM_SHIP_CUST_ROUTES_S.grt           1 om/om205/p1
MDB_OM_SHIP_CUST_ROUTES_S.seq           1 om/om205/p1
MDB_OM_SHIP_CUST_ROUTES_S.syn           1 om/om205/p1
MDB_OM_SHIP_CUST_ROUTES_V.vw            1 om/om205/p1
MDB_OM_SHIP_ORDER_LINES_V.vw            1 om/om205/p1
MDB_OM_SHIP_STATUS_VST.ldt              1 om/om205/p1
MDBOMSHIPMENTROUTES.fmb                 1 om/om205/p2
MDBOMSHIPMENTS.fmb                      1 om/om205/p2
MDB_OM_HEADER_IFACE_R_BI.trg            1 om/om209/p1
MDB_OM_IFACE_AR_PKB.pls                 1 om/om209/p1
MDB_OM_IFACE_AR_PKS.pls                 1 om/om209/p1
MDB_OM_LINE_IFACE_R_BI.trg              1 om/om209/p1
MDB_OM_OM209_00001.sql                  1 om/om209/p1
MDB_OM_ORDER_LINES_R_AU.trg             1 om/om209/p1
MDB_OM_ORDER_TYPE_DFF.ldt               1 om/om209/p1
MDB_OM_HEADER_IFACE_R_BI.trg            1 om/om209/p2
MDB_OM_IFACE_AR_PKB.pls                 1 om/om209/p2
MDB_OM_IFACE_AR_PKS.pls                 1 om/om209/p2
MDB_OM_LINE_IFACE_R_BI.trg              1 om/om209/p2
MDB_OM_OM209_00001.sql                  1 om/om209/p2
MDB_OM_ORDER_LINES_R_AU.trg             1 om/om209/p2
MDB_OM_ORDER_TYPE_DFF.ldt               1 om/om209/p2
MDB_OM_ORDER_LINES_R_AU.trg             1 om/om209/p3
MDB_OM_IFACE_AR_PKB.pls                 1 om/om209/p4
MDB_OM_ORDER_LINES_R_AU.trg             1 om/om209/p4
MDB_OM_IFACE_AR_PKB.pls                 1 om/om209/p5
objetos.txt                          3091 om/om209/p6
MDB_AR_COM_DISCOUNT_CCR.ldt          1899 om/om219_controle_desc_com/p1
MDB_AR_COM_DISCOUNT_RQG.ldt          2035 om/om219_controle_desc_com/p1
MDB_AR_COM_DISC_PKB.pls              1899 om/om219_controle_desc_com/p1
MDB_AR_COM_DISC_PKS.pls              1899 om/om219_controle_desc_com/p1
MDB_AR_IFACE_COM_DISC_R_BI.trg       1899 om/om219_controle_desc_com/p1
MDB_AR_COM_DISCOUNT_CCR.ldt          2989 om/om219_controle_desc_com/p2
MDB_AR_COM_DISC_PKB.pls              2980 om/om219_controle_desc_com/p2
MDB_AR_COM_DISC_PKS.pls              2980 om/om219_controle_desc_com/p2
MDB_OM_OM219_00001.sql               2688 om/om219_controle_desc_com/p2
MDB_OM_CHECK_MSG_LGL_PKB.pls         2202 om/om221_tst_msg_lgl_book_ordem/p1
MDB_OM_CHECK_MSG_LGL_PKS.pls         2202 om/om221_tst_msg_lgl_book_ordem/p1
MDB_OM_HD_LEGAL_MSG_R_BU.trg         2202 om/om221_tst_msg_lgl_book_ordem/p1
MDB_OM_OM221_00001.sql               2202 om/om221_tst_msg_lgl_book_ordem/p1
MDB_OM221_ALERT_INSERT_v1.doc        2474 om/om221_tst_msg_lgl_book_ordem/p1/pos_patch
MDB_OM_OM250_00001.sql               2865 om/om250_nf_cli_rma_ac/p1
MDB_OM_RMA_NNF_CLI_BIU.trg           2866 om/om250_nf_cli_rma_ac/p1
MDB_OM_BOOKED_ORDER_PKB.pls          2445 om/om251_Melhoria_OM203/p1
MDBOMORGPAR.fmb                      2376 om/om252_tp_ped_trf/p1
MDB_OM_HEADER_IFACE_R_BI.trg         2445 om/om252_tp_ped_trf/p1
MDB_OM_LINE_IFACE_R_BI.trg           2445 om/om252_tp_ped_trf/p1
MDB_OM_OM252_MNU.ldt                 2445 om/om252_tp_ped_trf/p1
MDB_OM_OM252_PTB_MSG.ldt             2445 om/om252_tp_ped_trf/p1
MDB_OM_OM252_US_MSG.ldt              2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PARAMETERS.grt            2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PARAMETERS.syn            2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PARAMETERS.tab            2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PARAMETERS_S.grt          2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PARAMETERS_S.seq          2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PARAMETERS_S.syn          2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PARAMETERS_U1.ind         2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PARAMETERS_U2.ind         2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PAR_LINES.grt             2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PAR_LINES.syn             2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PAR_LINES.tab             2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PAR_LINES_N1.ind          2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PAR_LINES_S.grt           2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PAR_LINES_S.seq           2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PAR_LINES_S.syn           2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PAR_LINES_U1.ind          2445 om/om252_tp_ped_trf/p1
MDB_OM_ORG_PAR_LINES_U2.ind          2445 om/om252_tp_ped_trf/p1
MDB_OM_ORDENS_ROTA_CCR.ldt           3112 om/om400/p1
MDB_OM_ORDENS_ROTA_RQG.ldt           3112 om/om400/p1
MDB_OM_ORD_ROT_CLI.rdf               3122 om/om400/p1
MDBOMWHSORDERITEMS.rdf               1701 om/om402/p1
MDB_OM_OMX402_CCR.ldt                2052 om/om402/p1
MDB_OMX402_B_VST.ldt                 2666 om/om402/p2
MDB_OMX402_RQG.ldt                   2664 om/om402/p2
MDB_OMX402_VST.ldt                   2666 om/om402/p2
MDBOMGOODSLIST.rdf                   2445 om/om403/p1
MDB_OM_GOODS_LIST_CCR.ldt            1171 om/om403/p1
MDB_OM_GOODS_LIST_RQG.ldt            1171 om/om403/p1
MDBOMRICR.rdf                        3135 om/om450_res_itens_carteira/p1
MDB_OM_RICR_CCR.ldt                  3159 om/om450_res_itens_carteira/p1
MDB_OM_RICR_RQG.ldt                  3160 om/om450_res_itens_carteira/p1
MDB_OM_RICR_VST.ldt                  3161 om/om450_res_itens_carteira/p1
MDB_OM_TIPO_ORDEM_VST.ldt            3222 om/om451_cons_ped_carteira/p1
MDB_WIP_PROG_PROD_CCR.ldt            3222 om/om451_cons_ped_carteira/p1
MDB_WIP_PROG_PROD_RQG.ldt            3222 om/om451_cons_ped_carteira/p1
MDB_OM_SALES_ORDERS_FP.ldt            159 om/om601/p1
MDB_OM_SALES_ORDERS_FP.ldt           1119 om/om601/p2
MDB_OM_SALES_AGREEMENT_FP.ldt         163 om/om602/p1
MDB_OM_SALES_AGREEMENT_FP.ldt        1145 om/om602/p2
MDB_OM_SALES_AGREEMENT_FP.sql        1824 om/om602/p2
objeto.txt                           3116 om/om602/p3
po400_pos-patch.doc                  3239 po/po400/p1
MDB_PO_ORDER_SUMMARY_FP.ldt            21 po/po600/p1
MDB_PO_PURCHASE_ORDER_FP.ldt           21 po/po600/p1
MDB_PO_PURCHASE_ORDER_FP.ldt           21 po/po600/p2
MDB_QUA_PLANS_FP.ldt                 2587 qua/qua601/p1
mdb_qua_plans_pkb.pls                2587 qua/qua601/p1
mdb_qua_plans_pks.pls                2587 qua/qua601/p1
MDBARORIMOD.fmb                         1 ri/ri200/p1
MDBARTRXTYP.fmb                         1 ri/ri200/p1
MDBRECIMPNFTR.fmb                       1 ri/ri200/p1
MDB_AR_CUSTOMIZACOES_MNU.ldt            1 ri/ri200/p1
MDB_AR_REC_INTEGRATIONS.grt             1 ri/ri200/p1
MDB_AR_REC_INTEGRATIONS.ind             1 ri/ri200/p1
MDB_AR_REC_INTEGRATIONS.syn             1 ri/ri200/p1
MDB_AR_REC_INTEGRATIONS.tab             1 ri/ri200/p1
MDB_AR_REC_INTEGRATIONS_S.grt           1 ri/ri200/p1
MDB_AR_REC_INTEGRATIONS_S.seq           1 ri/ri200/p1
MDB_AR_REC_INTEGRATIONS_S.syn           1 ri/ri200/p1
MDB_AR_REC_INTEGR_V.vw                  1 ri/ri200/p1
MDB_AR_SOURCES.grt                      1 ri/ri200/p1
MDB_AR_SOURCES.ind                      1 ri/ri200/p1
